"customer_id","total_orders","total_spend","avg_order_value","customer_tenure_days","orders_last_30d","days_since_last_order","category_diversity","delivery_risk","cltv_label"
"31813",2,"5726.04","2863.02",116,1,25,2,"0.16666666666666666","0"
"61020",3,"7844.9","2614.9666666666667",544,0,65,2,"0.15555555555555556","0"
"119099",4,"14768.77","3692.1925",500,0,164,4,"0.17222222222222222","0"
"188838",2,"5182.04","2591.02",559,0,259,2,"0.1111111111111111","0"
"191616",2,"4089.96","2044.98",595,0,164,2,"0.32222222222222224","0"
"211163",3,"11984.36","3994.786666666667",345,0,148,3,"0.13333333333333333","0"
"243838",3,"6061.06","2020.3533333333332",461,0,335,3,"0.037037037037037035","0"
"376144",5,"9359.35","1871.87",463,0,113,4,"0.008888888888888889","0"
"408590",1,"1217.39","1217.39",321,0,321,1,"0.2222222222222222","0"
"469006",3,"5932.18","1977.3933333333334",359,0,161,2,"0","0"
"625395",4,"7185.56","1796.39",366,0,33,3,"0.044444444444444446","0"
"644189",1,"3376","3376",134,0,134,1,"0.5777777777777777","0"
"666589",1,"222.15","222.15",285,0,285,1,"0.1111111111111111","0"
"701493",3,"8182.65","2727.55",570,0,138,3,"0.24444444444444444","0"
"767523",1,"2358.76","2358.76",122,0,122,1,"0.2","0"
"773410",1,"1838.15","1838.15",81,0,81,1,"0.022222222222222223","0"
"820740",3,"5414.65","1804.8833333333334",397,1,9,3,"0.1925925925925926","0"
"3491230",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0"
"899941",2,"7121.92","3560.96",551,0,339,2,"0.12222222222222222","0"
"949062",1,"3558.14","3558.14",579,0,579,1,"0.08888888888888889","0"
"954629",1,"44.35","44.35",537,0,537,1,"0.13333333333333333","0"
"966247",1,"3110.34","3110.34",200,0,200,1,"0.022222222222222223","0"
"1108176",2,"3667.81","1833.905",318,0,280,2,"0.24444444444444444","0"
"1152215",1,"1203.31","1203.31",484,0,484,1,"0.1111111111111111","0"
"1174162",3,"3606.78","1202.26",447,1,18,3,"0.022222222222222223","0"
"1200365",2,"1543.77","771.885",516,0,79,2,"0.1","0"
"1301661",1,"1395.67","1395.67",124,0,124,1,"0.4888888888888889","0"
"1342184",2,"5899.87","2949.935",546,0,405,2,"0.4888888888888889","0"
"1449273",2,"4983.25","2491.625",461,0,430,2,"0.06666666666666667","0"
"1469696",2,"3472.48","1736.24",457,0,226,2,"0","0"
"1497747",1,"1072.62","1072.62",521,0,521,1,"0","0"
"1507408",3,"3901.96","1300.6533333333334",438,0,401,3,"0.16296296296296295","0"
"1529180",2,"4575.31","2287.655",577,0,507,2,"0.17777777777777778","0"
"1562083",2,"4294.33","2147.165",311,0,53,2,"0.022222222222222223","0"
"1588560",2,"7210.93","3605.465",450,0,237,2,"0.26666666666666666","0"
"1601161",5,"8718.31","1743.662",496,0,69,4,"0.057777777777777775","0"
"1603358",3,"7542.58","2514.193333333333",512,0,425,3,"0.05925925925925926","0"
"1655637",1,"3517.14","3517.14",369,0,369,1,"0.044444444444444446","0"
"1683786",2,"7133.27","3566.635",570,0,162,2,"0","0"
"1697604",3,"8458.68","2819.56",573,0,280,3,"0.26666666666666666","0"
"1705969",2,"5269.05","2634.525",370,0,266,2,"0.14444444444444443","0"
"1719710",2,"3996.81","1998.405",494,0,413,2,"0","0"
"1771249",1,"2399.6","2399.6",240,0,240,1,"0.08888888888888889","0"
"1816969",2,"7750.56","3875.28",443,0,91,1,"0.18888888888888888","0"
"1855421",2,"3712.43","1856.215",345,0,301,2,"0.05555555555555555","0"
"1989720",2,"3688.92","1844.46",325,0,91,2,"0.08888888888888889","0"
"2058037",4,"10977.92","2744.48",399,1,4,4,"0.06111111111111111","0"
"2134827",1,"805.28","805.28",306,0,306,1,"0.1111111111111111","0"
"2136830",1,"4369.13","4369.13",422,0,422,1,"0.26666666666666666","0"
"2164524",4,"4677.64","1169.41",505,0,368,4,"0.25555555555555554","0"
"2188994",1,"3750.59","3750.59",167,0,167,1,"0","0"
"2219590",4,"8078.45","2019.6125",461,0,57,3,"0.16111111111111112","0"
"2233446",2,"4218.14","2109.07",533,0,256,2,"0.03333333333333333","0"
"48821170",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0"
"2361575",2,"5598.23","2799.115",343,0,86,2,"0.28888888888888886","0"
"2365348",1,"4789.73","4789.73",155,0,155,1,"0.6222222222222222","0"
"2391900",1,"1381.22","1381.22",484,0,484,1,"0","0"
"2400009",3,"5928.53","1976.1766666666667",433,0,166,3,"0.037037037037037035","0"
"2414265",2,"5182.14","2591.07",581,0,85,2,"0.07777777777777778","0"
"2442235",2,"3747.3","1873.65",396,1,10,2,"0.022222222222222223","0"
"2457734",4,"6744.32","1686.08",589,1,5,4,"0.03888888888888889","0"
"2517955",1,"950.6","950.6",251,0,251,1,"0.022222222222222223","0"
"2558646",3,"4034.93","1344.9766666666667",586,0,206,2,"0.029629629629629627","0"
"2566268",5,"13417.32","2683.464",404,2,7,5,"0.09333333333333334","0"
"2584499",3,"3879.01","1293.0033333333333",539,0,92,2,"0.14074074074074075","0"
"2667357",1,"1666.89","1666.89",364,0,364,1,"0","0"
"2684440",5,"10019.32","2003.864",390,0,164,5,"0.08","0"
"2848415",1,"1233.33","1233.33",293,0,293,1,"0.2222222222222222","0"
"2875442",1,"310.87","310.87",268,0,268,1,"0","0"
"2903620",2,"3876.62","1938.31",372,0,223,2,"0.35555555555555557","0"
"2928026",1,"972.69","972.69",323,0,323,1,"0.13333333333333333","0"
"3002538",2,"3130.74","1565.37",318,0,72,2,"0.23333333333333334","0"
"3096845",2,"5514.38","2757.19",515,0,363,2,"0.24444444444444444","0"
"3100301",1,"2618.61","2618.61",476,0,476,1,"0","0"
"3282647",2,"4671.45","2335.725",418,0,289,2,"0.16666666666666666","0"
"3292927",3,"5999.26","1999.7533333333333",149,1,20,3,"0.1037037037037037","0"
"3399251",1,"1348.39","1348.39",334,0,334,1,"0.4888888888888889","0"
"3408982",4,"9310.22","2327.555",462,0,59,4,"0.1111111111111111","0"
"3410758",1,"898.05","898.05",588,0,588,1,"0","0"
"3421258",2,"1407.12","703.56",405,0,259,2,"0.044444444444444446","0"
"3468355",1,"367.08","367.08",158,0,158,1,"0.13333333333333333","0"
"3483295",1,"1596.72","1596.72",238,0,238,1,"0.26666666666666666","0"
"3588443",2,"3724.12","1862.06",170,0,35,2,"0.12222222222222222","0"
"3638834",2,"2207.96","1103.98",390,0,389,2,"0","0"
"3660263",1,"899.58","899.58",225,0,225,1,"0.044444444444444446","0"
"3730316",3,"3173.85","1057.95",570,1,22,2,"0.1037037037037037","0"
"3786105",2,"5793.72","2896.86",330,0,200,2,"0.1","0"
"3844290",2,"4555.33","2277.665",128,0,33,2,"0.13333333333333333","0"
"3872421",1,"163.03","163.03",145,0,145,1,"0.1111111111111111","0"
"3875480",1,"3071.72","3071.72",512,0,512,1,"0.08888888888888889","0"
"3893903",1,"923.84","923.84",125,0,125,1,"0.3111111111111111","0"
"3897936",5,"9089.44","1817.888",521,0,33,4,"0.03111111111111111","0"
"3999964",2,"5935.73","2967.865",501,0,116,2,"0.15555555555555556","0"
"4055790",2,"4109.89","2054.945",516,0,398,2,"0","0"
"4057678",2,"2296.43","1148.215",83,0,35,2,"0.1111111111111111","0"
"4192351",1,"4555.81","4555.81",190,0,190,1,"0.24444444444444444","0"
"4200802",1,"858.57","858.57",379,0,379,1,"0","0"
"4356173",3,"2428.91","809.6366666666667",398,0,254,3,"0.0962962962962963","0"
"4378755",3,"5667.76","1889.2533333333333",353,0,66,3,"0","0"
"4386273",3,"4354.88","1451.6266666666668",473,0,77,3,"0.029629629629629627","0"
"4394659",2,"5924.07","2962.035",251,0,183,2,"0","0"
"4439806",3,"8478","2826",415,0,196,3,"0.1037037037037037","0"
"4444673",1,"491.39","491.39",197,0,197,1,"0","0"
"4458329",1,"127.16","127.16",91,0,91,1,"0.08888888888888889","0"
"4543215",1,"2653.37","2653.37",332,0,332,1,"0.08888888888888889","0"
"4594944",1,"4205.78","4205.78",454,0,454,1,"0.08888888888888889","0"
"4597433",6,"15497.68","2582.9466666666667",586,0,70,6,"0.13333333333333333","0"
"4606533",1,"938.72","938.72",471,0,471,1,"0","0"
"4758426",2,"6462.13","3231.065",549,0,521,2,"0.05555555555555555","0"
"4789829",2,"6885.25","3442.625",559,0,248,2,"0.18888888888888888","0"
"4862761",2,"3317.19","1658.595",592,0,112,2,"0","0"
"4940671",1,"3471.7","3471.7",352,0,352,1,"0","0"
"4988545",2,"5463.49","2731.745",535,0,243,2,"0.08888888888888889","0"
"5001749",2,"2604.45","1302.225",218,0,35,1,"0","0"
"5039883",5,"11488.47","2297.694",310,0,91,4,"0.13333333333333333","0"
"5043760",2,"2691.16","1345.58",278,0,185,2,"0.18888888888888888","0"
"5135207",1,"4045.22","4045.22",441,0,441,1,"0.15555555555555556","0"
"5140660",1,"2066.77","2066.77",362,0,362,1,"0.044444444444444446","0"
"5226128",2,"3694.79","1847.395",461,0,248,2,"0.044444444444444446","0"
"5228136",3,"6360.14","2120.0466666666666",562,0,133,2,"0.21481481481481482","0"
"5238055",3,"8401.95","2800.65",387,0,122,3,"0.08888888888888889","0"
"5277675",2,"2650.36","1325.18",582,0,394,2,"0.32222222222222224","0"
"5386246",3,"8719.43","2906.4766666666665",268,0,110,3,"0.1037037037037037","0"
"5418547",2,"2633.56","1316.78",530,0,65,2,"0.044444444444444446","0"
"5540556",4,"8749.83","2187.4575",587,0,30,4,"0.16666666666666666","0"
"80419534",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0"
"5607734",1,"3767.45","3767.45",386,0,386,1,"0.1111111111111111","0"
"5700842",1,"419.13","419.13",560,0,560,1,"0.4666666666666667","0"
"5712468",2,"3280.4","1640.2",321,0,38,1,"0.15555555555555556","0"
"5716817",3,"7122.33","2374.11",579,0,228,3,"0.13333333333333333","0"
"5751638",2,"3763.9","1881.95",420,0,333,2,"0.24444444444444444","0"
"5754255",3,"2938.94","979.6466666666666",379,0,133,3,"0.029629629629629627","0"
"5763963",5,"6641.31","1328.262",588,0,219,3,"0.08444444444444445","0"
"5901440",1,"39.65","39.65",599,0,599,1,"0.08888888888888889","0"
"5961261",4,"7210.87","1802.7175",552,0,205,4,"0.18888888888888888","0"
"6025470",1,"4593.42","4593.42",387,0,387,1,"0","0"
"6061349",3,"9223.01","3074.3366666666666",422,0,180,3,"0.3851851851851852","0"
"6081270",1,"836.16","836.16",433,0,433,1,"0.044444444444444446","0"
"6150721",5,"8313.27","1662.654",373,0,52,5,"0.1511111111111111","0"
"6184558",1,"3676.83","3676.83",572,0,572,1,"0","0"
"6186471",1,"4356.46","4356.46",260,0,260,1,"0.1111111111111111","0"
"6245778",3,"2736.77","912.2566666666667",467,0,304,3,"0.34074074074074073","0"
"6247821",3,"6206.78","2068.9266666666667",423,1,25,3,"0.08888888888888889","0"
"70179018",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0"
"6291143",2,"3673.81","1836.905",444,0,136,1,"0.011111111111111112","0"
"6319646",3,"4477.48","1492.4933333333333",471,0,130,3,"0.037037037037037035","0"
"6335221",2,"8162.09","4081.045",211,0,116,2,"0.2","0"
"6344345",3,"6306.38","2102.1266666666666",382,0,66,2,"0.2","0"
"6390687",2,"3644.79","1822.395",440,0,204,1,"0.1","0"
"6398761",4,"7685.5","1921.375",561,0,75,4,"0.027777777777777776","0"
"6459100",3,"5143.19","1714.3966666666668",470,0,79,3,"0.1037037037037037","0"
"6579892",4,"12303.49","3075.8725",550,1,9,4,"0.2388888888888889","0"
"6617417",1,"1441.9","1441.9",142,0,142,1,"0","0"
"6622751",1,"3090.15","3090.15",499,0,499,1,"0.022222222222222223","0"
